NS|WeightKg|Schedule|Material|PartName
0.125|0.28|10|CS|Tuberia
0.125|0.32|30|CS|Tuberia
0.125|0.37|40|CS|Tuberia
0.125|0.47|80|CS|Tuberia
0.25|0.49|10|CS|Tuberia
0.25|0.54|30|CS|Tuberia
0.25|0.63|40|CS|Tuberia
0.25|0.8|80|CS|Tuberia
0.375|0.63|10|CS|Tuberia
0.375|0.7|30|CS|Tuberia
0.375|0.84|40|CS|Tuberia
0.375|1.1|80|CS|Tuberia
0.5|0.8|5|CS|Tuberia
0.5|1.0|10|CS|Tuberia
0.5|1.12|30|CS|Tuberia
0.5|1.27|40|CS|Tuberia
0.5|1.62|80|CS|Tuberia
0.5|1.95|160|CS|Tuberia
0.5|2.55|–|CS|Tuberia
0.75|1.03|5|CS|Tuberia
0.75|1.28|10|CS|Tuberia
0.75|1.44|30|CS|Tuberia
0.75|1.69|40|CS|Tuberia
0.75|2.2|80|CS|Tuberia
0.75|2.9|160|CS|Tuberia
0.75|3.64|–|CS|Tuberia
1.0|1.3|5|CS|Tuberia
1.0|2.09|10|CS|Tuberia
1.0|2.18|30|CS|Tuberia
1.0|2.5|40|CS|Tuberia
1.0|3.24|80|CS|Tuberia
1.0|4.24|160|CS|Tuberia
1.0|5.45|–|CS|Tuberia
1.25|1.65|5|CS|Tuberia
1.25|2.7|10|CS|Tuberia
1.25|2.87|30|CS|Tuberia
1.25|3.39|40|CS|Tuberia
1.25|4.47|80|CS|Tuberia
1.25|5.61|160|CS|Tuberia
1.25|7.77|–|CS|Tuberia
1.5|1.91|5|CS|Tuberia
1.5|3.11|10|CS|Tuberia
1.5|3.53|30|CS|Tuberia
1.5|4.05|40|CS|Tuberia
1.5|5.41|80|CS|Tuberia
1.5|7.25|160|CS|Tuberia
1.5|9.56|–|CS|Tuberia
2.0|2.4|5|CS|Tuberia
2.0|3.03|–|CS|Tuberia
2.0|3.93|10|CS|Tuberia
2.0|4.48|30|CS|Tuberia
2.0|5.01||CS|Tuberia
2.0|5.44|40|CS|Tuberia
2.0|6.03||CS|Tuberia
2.0|6.54||CS|Tuberia
2.0|7.48|80|CS|Tuberia
2.0|8.45||CS|Tuberia
2.0|9.36||CS|Tuberia
2.0|11.11|160|CS|Tuberia
2.0|13.44||CS|Tuberia
2.5|3.69|5|CS|Tuberia
2.5|4.8|–|CS|Tuberia
2.5|5.26|10|CS|Tuberia
2.5|5.48|–|CS|Tuberia
2.5|6.13||CS|Tuberia
2.5|6.74||CS|Tuberia
2.5|7.4||CS|Tuberia
2.5|8.04|30|CS|Tuberia
2.5|8.63|40|CS|Tuberia
2.5|9.14||CS|Tuberia
2.5|10.44||CS|Tuberia
2.5|11.41|80|CS|Tuberia
2.5|14.92|160|CS|Tuberia
2.5|20.39||CS|Tuberia
3.0|4.52|5|CS|Tuberia
3.0|5.88|–|CS|Tuberia
3.0|6.45|10|CS|Tuberia
3.0|6.72||CS|Tuberia
3.0|7.53||CS|Tuberia
3.0|8.29||CS|Tuberia
3.0|9.11||CS|Tuberia
3.0|9.92|30|CS|Tuberia
3.0|11.29|40|CS|Tuberia
3.0|12.93||CS|Tuberia
3.0|14.4||CS|Tuberia
3.0|15.27|80|CS|Tuberia
3.0|21.35|160|CS|Tuberia
3.0|27.68||CS|Tuberia
3.5|5.18|5|CS|Tuberia
3.5|6.75||CS|Tuberia
3.5|7.4|10|CS|Tuberia
3.5|7.72||CS|Tuberia
3.5|8.65||CS|Tuberia
3.5|9.53||CS|Tuberia
3.5|10.48||CS|Tuberia
3.5|11.41|30|CS|Tuberia
3.5|13.57|40|CS|Tuberia
3.5|14.92||CS|Tuberia
3.5|16.63||CS|Tuberia
3.5|18.63|80|CS|Tuberia
4.0|5.84|5|CS|Tuberia
4.0|7.62||CS|Tuberia
4.0|8.36|10|CS|Tuberia
4.0|8.71||CS|Tuberia
4.0|9.77||CS|Tuberia
4.0|10.78||CS|Tuberia
4.0|11.85||CS|Tuberia
4.0|12.91|30|CS|Tuberia
4.0|13.89||CS|Tuberia
4.0|14.91||CS|Tuberia
4.0|16.07|40|CS|Tuberia
4.0|16.9||CS|Tuberia
4.0|18.87||CS|Tuberia
4.0|20.78||CS|Tuberia
4.0|22.32|80|CS|Tuberia
4.0|28.32|120|CS|Tuberia
4.0|33.54|160|CS|Tuberia
4.0|41.03||CS|Tuberia
5.0|7.24||CS|Tuberia
5.0|9.47|5|CS|Tuberia
5.0|10.83||CS|Tuberia
5.0|11.57|10|CS|Tuberia
5.0|13.41||CS|Tuberia
5.0|16.09||CS|Tuberia
5.0|18.61||CS|Tuberia
5.0|21.77|40|CS|Tuberia
5.0|23.62||CS|Tuberia
5.0|26.05||CS|Tuberia
5.0|28.57||CS|Tuberia
5.0|30.97|80|CS|Tuberia
5.0|40.28|120|CS|Tuberia
5.0|49.11|160|CS|Tuberia
5.0|57.43||CS|Tuberia
6.0|8.65||CS|Tuberia
6.0|11.31|5|CS|Tuberia
6.0|12.95||CS|Tuberia
6.0|13.84|10|CS|Tuberia
6.0|14.54||CS|Tuberia
6.0|16.05||CS|Tuberia
6.0|17.67||CS|Tuberia
6.0|19.27||CS|Tuberia
6.0|20.76||CS|Tuberia
6.0|22.31||CS|Tuberia
6.0|25.36||CS|Tuberia
6.0|28.26|40|CS|Tuberia
6.0|31.32||CS|Tuberia
6.0|34.39||CS|Tuberia
6.0|37.31||CS|Tuberia
6.0|42.56|80|CS|Tuberia
6.0|48.73||CS|Tuberia
6.0|54.2|120|CS|Tuberia
6.0|59.69||CS|Tuberia
6.0|67.56|160|CS|Tuberia
6.0|70.11||CS|Tuberia
6.0|79.22||CS|Tuberia
6.0|80.07||CS|Tuberia
8.0|14.79|5|CS|Tuberia
8.0|16.93||CS|Tuberia
8.0|19.96|10|CS|Tuberia
8.0|21.01||CS|Tuberia
8.0|25.26||CS|Tuberia
8.0|27.22||CS|Tuberia
8.0|29.28||CS|Tuberia
8.0|33.31|20|CS|Tuberia
8.0|36.81|30|CS|Tuberia
8.0|41.24||CS|Tuberia
8.0|42.55|40|CS|Tuberia
8.0|45.34||CS|Tuberia
8.0|49.25||CS|Tuberia
8.0|53.08|60|CS|Tuberia
8.0|57.08||CS|Tuberia
8.0|64.64|80|CS|Tuberia
8.0|72.08||CS|Tuberia
8.0|75.92|100|CS|Tuberia
8.0|79.58||CS|Tuberia
8.0|90.44|120|CS|Tuberia
8.0|93.98||CS|Tuberia
8.0|100.92|140|CS|Tuberia
8.0|107.92||CS|Tuberia
8.0|111.27|160|CS|Tuberia
8.0|121.33||CS|Tuberia
10.0|22.63|5|CS|Tuberia
10.0|26.28||CS|Tuberia
10.0|27.78|10|CS|Tuberia
10.0|31.63||CS|Tuberia
10.0|34.09||CS|Tuberia
10.0|36.68||CS|Tuberia
10.0|41.77|20|CS|Tuberia
10.0|46.51||CS|Tuberia
10.0|51.03|30|CS|Tuberia
10.0|56.98||CS|Tuberia
10.0|60.31|40|CS|Tuberia
10.0|71.9||CS|Tuberia
