NOMBRE	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
C25-PLM-2-1-46	37050	43820	-25200	-14800	-5800	-600
C25-PLM-1-1-24	4350	8375	-25300	-20275	-6900	-200
C25-PLM-1-1-22	125	4100	-25300	-20275	-6900	-200
C25-PLM-1-3-02_e	11160	12808	-27700	-18540	5200	9800
C25-PLM-2-1-C03	3302.282	9499.8	-6354.65	6354.65	-5720	-800
C25-PLM-2-2-C01	-9500.00000000001	9499.99999999999	-9499.802	9499.802	80	4700
C25-PLM-2-2-03	-17100	-13860	3675	8000	0	5050
C25-PLM-2-2-15_a	-17100	-13860	10900	14300	0	5050
C25-PLM-2-1-13	34350	37795	150	3475	-6900	-300
C25-PLM-2-1-22	34350	37795	-3475	-150	-6900	-300
C25-PLM-1-1-01	-44625	-38635	7690	14200	-5800	-300
C25-PLM-2-1-05	21470	24870	-2250	-400	-5800	-1000
C25-PLM-1-1-11_a	-46400	-38700	-14200	-4680	-6700	-300
C25-PLM-1-1-38	-17000	-8650	-31571.479	-25500	-6900	-300
C25-PLM-2-0-C02_b	-9499.801	6502.032	-9499.966	9499.966	-5800	-800
C25-PLM-1-2-16_a	-19900	-100	-27700	-25500	0	5050
C25-PLM-4-2-02	-22842	-19937.5	5677.5	9210	0	5050
C25-PLM-2-0-08	17010	26075	-10400	-6000	-12100	-6100
C25-PLM-4-2-03	-23922.5	-19937.5	-9210	-5677.5	0	5050
C25-PLM-1-2-14_a	-6730	8375	-25300	-20275	0	4550
C25-PLM-1-2-12_b	-8400	-6930	-22809	-18575	0	4550
C25-PLM-1-2-03	-17200	25600	25500	27500	0	5000
C25-PLM-1-2-07	25600	44120	14450	27525	0	4900
C25-PLM-1-3-01	-19900	-17200	-27700	27500	5200	9700
C25-PLM-1-3-02_a	-12802	-11302	-27700	-17280	5200	9700
C25-PLM-1-3-02_b	-11302	-8600	-27700	-25500	5200	9700
C25-PLM-1-3-02_d	8600	11160	-29847.238	-25500	5200	9850
C25-PLM-1-3-02_c	-11160	8600	-31576.016	-27950	5200	9850
C25-PLM-4-3-02	-23925	-19911.5	5675	9120	5200	9850
C25-PLM-1-1-16	8625	16850	-27700	-14500	-5800	4900
C25-PLM-1-3-30	-17200	-13002	-27700	-25500	5200	9700
C25-PLM-4-3-11	-38767	-36215	-17450	17448	5200	9850
C25-PLM-1-1-12	-7878	8375	-20075	-18575	-6900	-200
C25-PLM-1-3-34	8600	11110	-16273	-14500	5200	9800
C25-PLM-2-3-24	-12949	-11302	-17080	-14500	5200	9700
