Nombre	tipo	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax	Rmin	Rmax	THETAmin	THETAmax
C25-PLM-2-2-C01	polares	-9500	9500	-9499.802	9499.802	80	4700	3240	9500	0	360
C25-PLM-2-0-C03	polares	3302.282	9499.991	-6354.65	6354.65	-12100	-5800	4200	9500	315	45
C25-PLM-2-0-C01_d	polares	-3550	3550	-3550	3550	4700	8800	0	3550	0	360
C25-PLM-2-3-C01	polares	-9500	9500	-9499.802	9499.802	5280	8800	4200	9500	0	360
C25-PLM-2-4-C08	cartesianas	3406.244	10700	-1000	1000	10000	14000	0	0	0	0
C25-PLM-2-4-C03	polares	-8019.945	-600	2436.865	9481.034	10000	14000	4200	9500	90	150
C25-PLM-2-4-C05	polares	600	9241.753	2200	9481.034	10000	14000	4200	9500	0	90
C25-PLM-2-0-C04	cartesianas	10700	16810	-1115	1115	-12100	-6400	0	0	0	0
C25-PLM-2-0-C02_a	polares	-9499.800781	6502.032219	-9499.966	9499.966	-12100	-5800	4200	9500	45	315
C25-PLM-2-0-C01_a	polares	-2700	2700	-2700	2700	-10140	-5800	0	2700	0	360
C25-PLM-2-1-C03	polares	3302.282	9499.8	-6354.65	6354.65	-5800	-800	4200	9500	315	45
C25-PLM-2-4-C04	polares	600	9241.753	-9481.034	-2200	10000	14000	4200	9500	270	0
C25-PLM-2-4-C01	polares	-9499.805	-3820.773	-4399.377	4399.377	10000	14000	4200	9500	150	210
C25-PLM-2-4-C02	polares	-8019.945	-600	-9481.034	-2436.865	10000	14000	4200	9500	210	270
C25-PLM-2-0-C01_e	polares	-3549.881	3549.802	-3549.982	3549.998	8800	14000	0	3550	0	360
C25-PLM-2-0-C01_c	polares	-3240	3240	-3240	3240	-800	4700	0	3240	0	360
C25-PLM-2-0-C02_b	polares	-9499.800781	6502.032219	-9499.966	9499.966	-5800	-800	4200	9500	45	315
C25-PLM-2-0-C01_b	polares	-3240	3240	-3240	3240	-5800	-800	0	3240	0	360
