Nombre	tipo	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax	Rmin	Rmax	THETAmin	THETAmax
C25-PLM-1-1-01	cartesianas	-44625	-38635	7690	14200	-5800	-300	0	0	0	0
C25-PLM-1-1-03	cartesianas	-43851	-38640	4637.5	7540	-6700	-300	0	0	0	0
C25-PLM-1-1-04	cartesianas	-8400	-4325	-18375	-14500	-5800	-200	0	0	0	0
C25-PLM-1-1-05	cartesianas	-43845.5	-39637.5	3507.5	5030.5	-6700	-300	0	0	0	0
C25-PLM-1-1-06	cartesianas	-4125	-100	-18375	-14500	-5800	-200	0	0	0	0
C25-PLM-1-1-07	cartesianas	-44622.5	-42930	4635	6395	-6700	-300	0	0	0	0
C25-PLM-1-1-08	cartesianas	100	4125	-18375	-14500	-5800	-200	0	0	0	0
C25-PLM-1-1-09	cartesianas	-44600	-39652.5	-4480	3352.5	-6700	-300	0	0	0	0
C25-PLM-1-1-10	cartesianas	4325	8375	-18375	-14500	-5800	-200	0	0	0	0
C25-PLM-1-1-11_a	cartesianas	-46400	-38700	-14200	-4680	-6700	-300	0	0	0	0
C25-PLM-1-1-11_b	cartesianas	-46400	-43998	-4680	2557	-5800	-300	0	0	0	0
C25-PLM-1-1-12	cartesianas	-7878	8375	-20075	-18575	-6900	-200	0	0	0	0
C25-PLM-1-1-14	cartesianas	-8400	-125	-25300	-20275	-5800	-200	0	0	0	0
C25-PLM-1-1-15	cartesianas	8700	16850	14500	25250	-5800	4900	0	0	0	0
C25-PLM-1-1-16	cartesianas	8625	16850	-27700	-14500	-5800	4900	0	0	0	0
C25-PLM-1-1-18	cartesianas	-12740	-8650	-25300	-20275	-6900	-300	0	0	0	0
C25-PLM-1-1-19	cartesianas	-51857.605	-46650	7150	9851	-5800	-350	0	0	0	0
C25-PLM-1-1-20	cartesianas	-17000	-12940	-25300	-21040	-6900	-300	0	0	0	0
C25-PLM-1-1-21	cartesianas	-40690	-36100	17450	23167	-5800	-300	0	0	0	0
C25-PLM-1-1-22	cartesianas	125	4100	-25300	-20275	-6900	-200	0	0	0	0
C25-PLM-1-1-23	cartesianas	-40690	-36101	-23165	-17450	-6700	-300	0	0	0	0
C25-PLM-1-1-24	cartesianas	4350	8375	-25300	-20275	-6900	-200	0	0	0	0
C25-PLM-1-1-25_a	cartesianas	34300	44020	-150	25250	-6900	-300	0	0	0	0
C25-PLM-1-1-25_b	cartesianas	37249.922	44070	-12450	-150	-6900	-300	0	0	0	0
C25-PLM-1-1-25_c	cartesianas	38095	44095	-12450	-150	-300	5000	0	0	0	0
C25-PLM-1-1-26	cartesianas	-50367.914	-46650	-9850	-7150	-5800	-350	0	0	0	0
C25-PLM-1-1-27	cartesianas	4350	21150	25500	29750	-6900	-200	0	0	0	0
C25-PLM-1-1-28	cartesianas	-17000	-11305	-18375	-14500	-6900	-300	0	0	0	0
C25-PLM-1-1-29	cartesianas	34300	44020	25500	27500	-5800	-200	0	0	0	0
C25-PLM-1-1-30	cartesianas	-17000	-11305	-20840	-18575	-6900	-300	0	0	0	0
C25-PLM-1-1-32	cartesianas	34350	44070	-14200	-12650	-5800	7650	0	0	0	0
C25-PLM-1-1-36	cartesianas	-19900	-17300	-27700	-17450	-6900	-200	0	0	0	0
C25-PLM-1-1-38	cartesianas	-17000	-8650	-31571.479	-25500	-6900	-300	0	0	0	0
C25-PLM-1-1-40	cartesianas	-8400	4100	-27700	-25500	-6900	-300	0	0	0	0
C25-PLM-1-1-42_a	cartesianas	8650	11110.66	-29844.523	-25500	-6900	-400	0	0	0	0
C25-PLM-1-1-42_b	cartesianas	4350	8350	-27700	-25500	-6900	-300	0	0	0	0
C25-PLM-1-2-01_a	cartesianas	-35000	-19900	14450	18364.898	0	3850	0	0	0	0
C25-PLM-1-2-01_b	cartesianas	-19900	-17200	5522.5	27500	0	5000	0	0	0	0
C25-PLM-1-2-02	cartesianas	-8400	-4325	-18375	-14500	0	4550	0	0	0	0
C25-PLM-1-2-03	cartesianas	-17200	25600	25500	27500	0	5000	0	0	0	0
C25-PLM-1-2-04	cartesianas	-4125	-100	-18375	-14500	0	4550	0	0	0	0
C25-PLM-1-2-05	cartesianas	-21619.611	-13860	-5522.5	10572	0	5050	0	0	0	0
C25-PLM-1-2-06	cartesianas	100	4125	-18375	-14500	0	4550	0	0	0	0
C25-PLM-1-2-07	cartesianas	25600	44120	14450	27525	0	4900	0	0	0	0
C25-PLM-1-2-08	cartesianas	4325	8375	-18375	-14500	0	4550	0	0	0	0
C25-PLM-1-2-09	cartesianas	37117.043	44120	-150	14150	0	5000	0	0	0	0
C25-PLM-1-2-10_a	cartesianas	8650	16850	-27700	-25500	0	4900	0	0	0	0
C25-PLM-1-2-10_b	cartesianas	100	8650	-27700	-25500	0	4550	0	0	0	0
C25-PLM-1-2-11	cartesianas	-8400	8400	14500	25250	0	5000	0	0	0	0
C25-PLM-1-2-12_a	cartesianas	-6930	8375	-20075	-18575	0	4550	0	0	0	0
C25-PLM-1-2-12_b	cartesianas	-8400	-6930	-22809	-18575	0	4550	0	0	0	0
C25-PLM-1-2-14_a	cartesianas	-6730	8375	-25300	-20275	0	4550	0	0	0	0
C25-PLM-1-2-14_b	cartesianas	-8400	-6730	-25300	-23009	0	4550	0	0	0	0
C25-PLM-1-2-16_a	cartesianas	-19900	-100	-27700	-25500	0	5050	0	0	0	0
C25-PLM-1-2-16_b	cartesianas	-11104	-8600	-25500	-20080	0	5050	0	0	0	0
C25-PLM-1-2-17	cartesianas	-16900	-8700	14500	25250	0	5000	0	0	0	0
C25-PLM-1-2-18	cartesianas	-19900	-17200	-25300	-5677.5	0	5050	0	0	0	0
C25-PLM-1-2-19	cartesianas	17150	25400	14500	25250	0	5000	0	0	0	0
